step,method,task,accuracy
24,ewc,2,0.133600
25,ewc,2,0.107600
26,ewc,2,0.111900
27,ewc,2,0.137300
28,ewc,2,0.145700
29,ewc,2,0.128600
30,ewc,2,0.141900
31,ewc,2,0.380200
32,ewc,2,0.446200
33,ewc,2,0.453400
34,ewc,2,0.462000
35,ewc,2,0.491300
36,ewc,2,0.480300
37,ewc,2,0.481000
38,ewc,2,0.496400
39,ewc,2,0.474900
40,ewc,2,0.497800
41,ewc,2,0.485300
42,ewc,2,0.500800
43,ewc,2,0.504100
44,ewc,2,0.496700
45,ewc,2,0.516600
46,ewc,2,0.517100
47,ewc,2,0.507000
48,ewc,2,0.531400
49,ewc,2,0.497200
50,ewc,2,0.503800
51,ewc,2,0.506600
52,ewc,2,0.496900
53,ewc,2,0.517600
54,ewc,2,0.498300
55,ewc,2,0.507500
56,ewc,2,0.508700
57,ewc,2,0.503400
58,ewc,2,0.533800
59,ewc,2,0.568300
60,ewc,2,0.519800
61,ewc,2,0.909500
62,ewc,2,0.936900
63,ewc,2,0.948600
64,ewc,2,0.955300
65,ewc,2,0.957900
66,ewc,2,0.961000
67,ewc,2,0.964100
68,ewc,2,0.968400
69,ewc,2,0.968400
70,ewc,2,0.968400
71,ewc,2,0.969400
72,ewc,2,0.970200
73,ewc,2,0.970900
74,ewc,2,0.974500
75,ewc,2,0.973700
76,ewc,2,0.972800
77,ewc,2,0.974600
78,ewc,2,0.973700
79,ewc,2,0.976200
80,ewc,2,0.975500
81,ewc,2,0.976700
82,ewc,2,0.975500
83,ewc,2,0.976300
84,ewc,2,0.976500
85,ewc,2,0.977600
86,ewc,2,0.978700
87,ewc,2,0.977900
88,ewc,2,0.975900
89,ewc,2,0.979300
90,ewc,2,0.978400
